Keyword,TEDLIUM_SampleID,TED_TALK_ID,TEDLIUM_SET,MSWC_AudioID,start_time,end_time,confidence
they,34,train,adversarial_34,they/common_voice_en_19021027.opus,361.573,361.693375,0.9751770993073782
experiments,67,train,adversarial_67,experiments/common_voice_en_20783637.opus,29.0040625,29.7690625,0.9735766900220718
two,3,train,adversarial_3,two/common_voice_en_19410683.opus,34.8063125,34.9466875,0.8779200634786061
have,55,train,adversarial_55,have/common_voice_en_579391.opus,499.216125,499.71775,0.8815331153065239
family,40,train,adversarial_40,family/common_voice_en_21686779.opus,394.0865625,394.47025,0.9997064220277888
like,64,train,adversarial_64,like/common_voice_en_20816333.opus,16.5998125,16.7621875,0.9386339113116264
tell,62,train,adversarial_62,tell/common_voice_en_583266.opus,12.5958125,12.7775,0.9754228856828476
muslim,31,train,adversarial_31,muslim/common_voice_en_20735467.opus,336.84825,337.3490625,0.8738038072365687
bibles,99,train,adversarial_99,bibles/common_voice_en_21797378.opus,231.437375,231.8393125,0.8984844301827252
life,53,train,adversarial_53,life/common_voice_en_317049.opus,490.743375,490.9839375,0.9864599754412968
the,78,train,adversarial_78,the/common_voice_en_17296906.opus,96.2045625,96.4649375,0.8019657478882716
living,87,train,adversarial_87,living/common_voice_en_18152582.opus,165.586375,165.8670625,0.9297049497919424
during,75,train,adversarial_75,during/common_voice_en_18674136.opus,78.63981249999999,78.8805625,0.9687429616848628
those,39,train,adversarial_39,those/common_voice_en_580739.opus,391.87225,392.21375,0.9292072434635724
got,20,train,adversarial_20,got/common_voice_en_18352465.opus,127.4410625,127.6424375,0.8992541249084752
there,84,train,adversarial_84,there/common_voice_en_17441676.opus,147.595,147.775375,0.7941750205231215
saw,8,train,adversarial_8,saw/common_voice_en_516989.opus,59.896687500000006,60.1973125,0.8701558423005432
explosion,9,train,adversarial_9,explosion/common_voice_en_32548.opus,66.43168750000001,67.0535625,0.9371803312322065
the,1,train,adversarial_1,the/common_voice_en_207024__2.opus,16.621125,16.741375,0.8363568310936292
this,94,train,adversarial_94,this/common_voice_en_20078321.opus,201.7224375,201.8826875,0.9993215277791024
for,69,train,adversarial_69,for/common_voice_en_18166101__2.opus,41.927,42.1273125,0.9160280659794808
when,15,train,adversarial_15,when/common_voice_en_17531555.opus,103.4401875,103.5805625,0.8686639134372983
young,32,train,adversarial_32,young/common_voice_en_22175668.opus,342.6091875,342.8496875,0.8389000569795231
front,35,test,adversarial_35,front/common_voice_en_19483554.opus,368.8228125,368.963,0.4006139753120286
