original_recording_id,example_recording_id,example_category,original_transcript,example_transcript,path_to_original,path_to_example
original_urOCGSMlB9g/50008,example_exact_recordings_urOCGSMlB9g/50008,exact_recordings,HE TALKED ABOUT HIS EXPERIENCE OF BEING A NURSE IN GERMANY AND TAKING CARE OF THE SOLDIERS COMING RIGHT,HE TALKED ABOUT HIS EXPERIENCE OF BEING A NURSE IN GERMANY AND TAKING CARE OF THE SOLDIERS COMING RIGHT,/group/corpora/public/lipreading/LRS3/trainval/urOCGSMlB9g/50008.m4a,./exact_recordings/urOCGSMlB9g/50008.m4a
original_3MYEtQ5Zdn8/50003,example_imperfect_examples_3MYEtQ5Zdn8/50003,imperfect_examples,THEY WENT THROUGH HIS FILES AND THEY DIDN'T FIND ANYTHING,THEY DIDN'T FIND THE FILES,/group/corpora/public/lipreading/LRS3/trainval/3MYEtQ5Zdn8/50003.m4a,./imperfect_examples/3MYEtQ5Zdn8/50003.m4a
original_A3Vpjwye9Mw/50008,example_imperfect_examples_A3Vpjwye9Mw/50008,imperfect_examples,SO I STARTED JUST FOR FUN I PULLED OUT 3 OF MY FAVORITE GAMES,I PULLED OUT 3 GAMES,/group/corpora/public/lipreading/LRS3/trainval/A3Vpjwye9Mw/50008.m4a,./imperfect_examples/A3Vpjwye9Mw/50008.m4a
original_A3Vpjwye9Mw/50001,example_samples_A3Vpjwye9Mw/50001,samples,BUT VIDEO GAMES I WAS INSTANTLY CAPTIVATED BY,VIDEO GAMES,/group/corpora/public/lipreading/LRS3/trainval/A3Vpjwye9Mw/50001.m4a,./samples/A3Vpjwye9Mw/50001.m4a
original_A3Vpjwye9Mw/50003,example_samples_A3Vpjwye9Mw/50003,samples,AND IT GAVE SOMETHING FOR MY SISTER AND I TO PLAY IT TOGETHER,SISTER,/group/corpora/public/lipreading/LRS3/trainval/A3Vpjwye9Mw/50003.m4a,./samples/A3Vpjwye9Mw/50003.m4a
original_A3Vpjwye9Mw/50004,example_samples_A3Vpjwye9Mw/50004,samples,THE WAY IT LOOKED THE WAY IT FELT THE WAY IT SOUNDED,GAMING,/group/corpora/public/lipreading/LRS3/trainval/A3Vpjwye9Mw/50004.m4a,./samples/A3Vpjwye9Mw/50004.m4a
original_A3Vpjwye9Mw/50006,example_samples_A3Vpjwye9Mw/50006,samples,IT JUST IT WAS EVERYWHERE FOR A LONG TIME AND FOR THOSE OF YOU WHO MIGHT'VE REMEMBERED THE LATE 70S EARLY 80S,THE LATE 70S,/group/corpora/public/lipreading/LRS3/trainval/A3Vpjwye9Mw/50006.m4a,./samples/A3Vpjwye9Mw/50006.m4a
original_KoXdjyJyxbE/50007,example_samples_KoXdjyJyxbE/50007_b,samples,IT'S A METAPHOR THAT NOT ONLY IMPLIES AVOIDING CONFRONTATION BUT IT ALSO,AVOIDING CONFRONTATION,/group/corpora/public/lipreading/LRS3/trainval/KoXdjyJyxbE/50007,./samples/KoXdjyJyxbE/50007_b.m4a
original_KoXdjyJyxbE/50007,example_samples_KoXdjyJyxbE/50007_a,samples,IT'S A METAPHOR THAT NOT ONLY IMPLIES AVOIDING CONFRONTATION BUT IT ALSO,IT'S A METAPHOR,/group/corpora/public/lipreading/LRS3/trainval/KoXdjyJyxbE/50007,./samples/KoXdjyJyxbE/50007_a.m4a
original_KoXdjyJyxbE/50008,example_samples_KoXdjyJyxbE/50008,samples,IN MY LINE OF WORK AS HIGH SCHOOL TEACHER I HEAR VOICES JUST LIKE THAT IN THE HALLWAYS I SEE BULLYING ALL THE TIME,I HEAR VOICES JUST LIKE THAT,/group/corpora/public/lipreading/LRS3/trainval/KoXdjyJyxbE/50008.m4a,./samples/KoXdjyJyxbE/50008.m4a
original_KoXdjyJyxbE/50013,example_samples_KoXdjyJyxbE/50013,samples,AT THE END OF THE CONVERSATION I HAD TO PICK UP MY CUP OF COFFEE THAT I ALWAYS HAVE STEP OUT INTO THE,I HAD TO PICK UP MY CUP OF COFFEE,/group/corpora/public/lipreading/LRS3/trainval/KoXdjyJyxbE/50013.m4a,./samples/KoXdjyJyxbE/50013.m4a
original_KoXdjyJyxbE/50019,example_samples_KoXdjyJyxbE/50019,samples,THAT MOMENT MEANT MORE TO ME THAN A BUILDING FULL OF PEOPLE WEARING PINK SHIRTS AND THOSE PINK,PINK SHIRTS,/group/corpora/public/lipreading/LRS3/trainval/KoXdjyJyxbE/50019.m4a,./samples/KoXdjyJyxbE/50019.m4a
original_KoXdjyJyxbE/50021,example_samples_KoXdjyJyxbE/50021,samples,KIDS LIKE NOAH WHO SAT FOR OVER AN HOUR IN A MCDONALD'S FEEDING AND TALKING TO A HOMELESS MAN,KIDS LIKE NOAH,/group/corpora/public/lipreading/LRS3/trainval/KoXdjyJyxbE/50021.m4a,./samples/KoXdjyJyxbE/50021.m4a
original_urOCGSMlB9g/50002,example_samples_urOCGSMlB9g/50002,samples,I WENT TO MY FIRST DAY OF CHEMOTHERAPY AND I WAS AN EMOTIONAL WRECK,CHEMOTHERAPY AND I WAS AN EMOTIONAL WRECK,/group/corpora/public/lipreading/LRS3/trainval/urOCGSMlB9g/50002.m4a,./samples/urOCGSMlB9g/50002.m4a
original_urOCGSMlB9g/50004,example_samples_urOCGSMlB9g/50004,samples,WE TALKED ABOUT HER BOYFRIENDS WE TALKED ABOUT LOOKING FOR APARTMENTS IN NEW YORK CITY AND WE TALKED ABOUT MY,PHOTOGRAPHING,/group/corpora/public/lipreading/LRS3/trainval/urOCGSMlB9g/50004.m4a,./samples/urOCGSMlB9g/50004.m4a
original_urOCGSMlB9g/50005,example_samples_urOCGSMlB9g/50005,samples,I SPENT FIVE YEARS INTERVIEWING PHOTOGRAPHING AND FILMING NURSES FOR A BOOK AND A,SOLDIERS,/group/corpora/public/lipreading/LRS3/trainval/urOCGSMlB9g/50005.m4a,./samples/urOCGSMlB9g/50005.m4a
